Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Power,Torque,Displacement,Fuel_Tank_Capacity,Type,Body_Type,Seating_Capacity,ARAI_Certified_Mileage,Length,Width,Height,Kerb_Weight,Ground_Clearance,Front_Brakes,Rear_Brakes,ABS_(Anti-lock_Braking_System),Airbags
,Mercedes-Benz Gls,400 4Matic,"Rs. 87,76,900",Petrol,333PS@5250rpm,480Nm@5250rpm,2996 cc,80 litres,Automatic,SUV,7.0,12 km/litre,5146 mm,1982 mm,1850 mm,2580 kg,307 mm,Solid Disc,Drum,Yes,"Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag"
,Mercedes-Benz Gls,Grand Edition Petrol,"Rs. 86,90,000",Petrol,333PS@5250rpm,480Nm@5250rpm,2996 cc,80 litres,Automatic,SUV,7.0,12 km/litre,5146 mm,1982 mm,1850 mm,2580 kg,307 mm,Solid Disc,Drum,Yes,"Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Drive side airbag, Front passenger pelvic airbag, Driver pelvic airbag, Rear passenger pelvic airbags, Curtain airbags, Driver frontal airbag"
,Mercedes-Benz Gls,Grand Edition Diesel,"Rs. 86,90,000",Diesel,258PS@3600rpm,619Nm@1600-2400RPM,2987 cc,100 litres,Automatic,SUV,5.0,11.6 km/litre,5120 mm,1934 mm,1850 mm,2535 kg,307 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Front passenger pelvic airbag, Driver pelvic airbag"
Toyota,Land Cruiser Prado,Vx L,"Rs. 96,30,000",Diesel,173PS@3400rpm,410Nm@1600-2800rpm,2982 cc,87 litres,Automatic,SUV,7.0,11.13 km/litre,4840 mm,1885 mm,1880 mm,,,Ventilated Disc,Ventilated Disc,Yes,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag"
Lexus,Rx 450H,450Hl Luxury,"Rs. 99,00,000",Petrol,262PS@6000rpm,335Nm@4600rpm,3456 cc,65 litres,Automatic,SUV,5.0,18 km/litre,5000 mm,1895 mm,1700 mm,2195 kg,,Ventilated Disc,Ventilated Disc,Yes,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag"
Audi,Rs5,Coupe,"Rs. 1,11,41,200",Petrol,450PS@5700-6700rpm,600Nm@1900-5000rpm,2894 cc,58 litres,Automatic,Coupe,4.0,10.8 km/litre,4649 mm,,,1770 kg,160 mm,Ventilated Disc,Ventilated Disc,Yes,"Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bmw,7-Series,730Ld Design Pure Excellence,"Rs. 1,22,90,000",Diesel,265PS@4000RPM,620Nm@2000-2500RPM,2993 cc,78 litres,Automatic,Sedan,4.0,17.66 km/litre,5120 mm,2169 mm,1479 mm,,152 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bmw,7-Series,730Ld Design Pure Excellence Signature,"Rs. 1,32,00,000",Diesel,265PS@4000RPM,620Nm@2000-2500RPM,2993 cc,78 litres,Automatic,Sedan,4.0,17.66 km/litre,5120 mm,2169 mm,1479 mm,,152 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bmw,7-Series,730Ld M Sport,"Rs. 1,35,10,000",Diesel,265PS@4000RPM,620Nm@2000-2500RPM,2993 cc,78 litres,Automatic,Sedan,4.0,17.66 km/litre,5120 mm,2169 mm,1479 mm,,152 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Bmw,7-Series,740Li Design Pure Excellence Signature,"Rs. 1,35,10,000",Petrol,340PS@5500-6500RPM,450Nm@1500-5200rpm,2998 cc,78 litres,Automatic,Sedan,4.0,11.86 km/litre,5120 mm,2169 mm,1479 mm,,152 mm,Ventilated Disc,Ventilated Disc,Yes,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
