Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Power,Torque,Displacement,Fuel_Tank_Capacity,Type,Body_Type,Seating_Capacity,ARAI_Certified_Mileage,Length,Width,Height,Kerb_Weight,Ground_Clearance,Front_Brakes,Rear_Brakes,ABS_(Anti-lock_Braking_System),Airbags
Tata,Nano Genx,Xt,"Rs. 2,92,667",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Manual,Hatchback,4.0,23.6 km/litre,3164 mm,1750 mm,1652 mm,660 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xe,"Rs. 2,36,447",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Manual,Hatchback,4.0,23.6 km/litre,3164 mm,1750 mm,1652 mm,725 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Emax Xm,"Rs. 2,96,661",CNG,38PS@5500rpm,51Nm@4000rpm,624 cc,15 litres,Manual,Hatchback,4.0,,3164 mm,1750 mm,1652 mm,710 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xta,"Rs. 3,34,768",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Automatic,Hatchback,4.0,21.9 km/litre,3164 mm,1750 mm,1652 mm,725 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xm,"Rs. 2,72,223",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Manual,Hatchback,4.0,23.6 km/litre,3164 mm,1750 mm,1652 mm,725 kg,180 mm,Drum,Drum,,
Tata,Nano Genx,Xma,"Rs. 3,14,815",Petrol,38PS@5500rpm,51Nm@4000rpm,624 cc,24 litres,Automatic,Hatchback,4.0,21.9 km/litre,3164 mm,1750 mm,1652 mm,710 kg,180 mm,Drum,Drum,,
Datsun,Redi-Go,D,"Rs. 2,79,650",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,Yes,
Datsun,Redi-Go,T,"Rs. 3,51,832",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Datsun,Redi-Go,A,"Rs. 3,33,419",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Datsun,Redi-Go,S,"Rs. 3,62,000",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Datsun,Redi-Go,1.0 S,"Rs. 3,90,000",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Manual,Hatchback,5.0,22.5 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Datsun,Redi-Go,1.0 S Amt,"Rs. 4,37,065",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Automatic,Hatchback,5.0,23 km/litre,3429 mm,1560 mm,1541 mm,,185 mm,Ventilated Disc,Drum,,
Renault,Kwid,Rxe 0.8,"Rs. 3,53,290",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Std 0.8,"Rs. 2,83,290",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Rxl 0.8,"Rs. 3,83,290",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Rxt 0.8,"Rs. 4,13,290",Petrol,54PS@5678rpm,72Nm@4386rpm,799 cc,28 litres,Manual,Hatchback,5.0,25.17 km/litre,3731 mm,1580 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Rxt 1.0,"Rs. 4,33,290",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Manual,Hatchback,5.0,23.01 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Climber 1.0 Mt,"Rs. 4,54,490",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Manual,Hatchback,5.0,23.01 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Rxt Amt 1.0,"Rs. 4,63,290",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Automatic,Hatchback,5.0,24.04 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Climber Amt 1.0,"Rs. 4,84,490",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Automatic,Hatchback,5.0,24.04 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Renault,Kwid,Rxt (O) 1.0,"Rs. 4,40,990",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Manual,Hatchback,5.0,23.01 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Kwid,Rxt (O) Amt 1.0,"Rs. 4,70,990",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Automatic,Hatchback,5.0,23.01 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Kwid,Climber (O) Mt 1.0,"Rs. 4,62,190",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Manual,Hatchback,5.0,23.01 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Kwid,Climber (O) Amt 1.0,"Rs. 4,92,190",Petrol,68PS@5500rpm,91Nm@4250RPM,999 cc,28 litres,Automatic,Hatchback,5.0,24.04 km/litre,3731 mm,1579 mm,1490 mm,669 kg,184 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Eeco,5 Str,"Rs. 3,52,136",Petrol,73PS@6000rpm,101Nm@3000rpm,1196 cc,40 litres,Manual,MPV,5.0,15 km/litre,3675 mm,1475 mm,1800 mm,920 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Eeco,7 Str,"Rs. 3,80,573",Petrol,74PS@6000RPM,101Nm@3000rpm,1196 cc,40 litres,Manual,MPV,7.0,15 km/litre,3675 mm,1475 mm,1800 mm,940 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Eeco,5 Str With Ac+Htr,"Rs. 3,92,967",Petrol,73PS@6000rpm,101Nm@3000rpm,1196 cc,40 litres,Manual,MPV,5.0,15 km/litre,3675 mm,1475 mm,1800 mm,928 kg,160 mm,Ventilated Disc,Drum,,
Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,"Rs. 4,66,057",CNG,62PS@6000rpm,85Nm@3000rpm,1196 cc,40 litres,Manual,MPV,5.0,,3675 mm,1475 mm,1800 mm,1050 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Eeco,5 Str With Htr Cng,"Rs. 4,25,255",CNG,62PS@6000rpm,85Nm@3000rpm,1196 cc,40 litres,Manual,MPV,5.0,,3675 mm,1475 mm,1800 mm,1030 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Alto K10,Lxi,"Rs. 3,77,588",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,24.07 km/litre,3545 mm,1490 mm,1475 mm,745 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Alto K10,Vxi,"Rs. 3,94,036",Petrol,68PS@6200rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,24.07 km/litre,3545 mm,1490 mm,1475 mm,750 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Alto K10,Lx,"Rs. 3,60,843",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,24.07 km/litre,3545 mm,1490 mm,1475 mm,740 kg,160 mm,Ventilated Disc,Drum,Yes,Driver frontal airbag
Maruti Suzuki,Alto K10,Vxi (O),"Rs. 4,07,238",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,24.07 km/litre,3620 mm,1475 mm,1460 mm,755 kg,160 mm,Ventilated Disc,Drum,,Driver frontal airbag
Maruti Suzuki,Alto K10,Lxi Cng (O),"Rs. 4,39,777",CNG,59PS@6000rpm,78Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,,3545 mm,1490 mm,1475 mm,740 kg,160 mm,Ventilated Disc,Drum,,Driver frontal airbag
Maruti Suzuki,Alto K10,Vxi Amt (O),"Rs. 4,38,559",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Automatic,Hatchback,5.0,24.07 km/litre,3545 mm,1490 mm,1475 mm,755 kg,160 mm,Ventilated Disc,Drum,,Driver frontal airbag
Datsun,Go,D,"Rs. 3,74,990",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,T,"Rs. 4,68,229",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,T (O),"Rs. 5,02,492",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,A (O),"Rs. 4,99,990",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,A,"Rs. 4,69,990",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,T Vdc,"Rs. 5,28,464",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,T (O) Vdc,"Rs. 5,53,015",Petrol,68PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,T Cvt,"Rs. 5,94,464",Petrol,78PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Datsun,Go,T (O) Cvt,"Rs. 6,18,015",Petrol,78PS@5000rpm,104Nm@4000rpm,1198 cc,35 litres,Manual,Hatchback,5.0,20.1 km/litre,3788 mm,1636 mm,1507 mm,864 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Celerio Tour,H2,"Rs. 4,22,444",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,830 kg,165 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Celerio Tour,H2 Cng,"Rs. 4,80,670",CNG,59bhp@6000rpm,78Nm@3500rpm,998 cc,60 litres,Manual,Hatchback,5.0,,3695 mm,1600 mm,1560 mm,915 kg,165 mm,Ventilated Disc,Drum,,"Driver frontal airbag, Front passenger frontal airbag"
Hyundai,Santro,Era Mt,"Rs. 4,29,990",Petrol,69PS@5500rpm,99.04nm@4500RPM,1086 cc,35 litres,Manual,Hatchback,5.0,20.3 km/litre,3610 mm,1645 mm,1560 mm,,,,,Yes,Driver frontal airbag
Hyundai,Santro,Magna Mt,"Rs. 5,03,990",Petrol,69PS@5500rpm,99.04nm@4500RPM,1086 cc,35 litres,Manual,Hatchback,5.0,20.3 km/litre,3610 mm,1645 mm,1560 mm,,,,,Yes,Driver frontal airbag
Hyundai,Santro,Magna Mt Cng,"Rs. 5,47,990",CNG,59PS@5500RPM,99.04nm@4500RPM,1086 cc,35 litres,Manual,Hatchback,5.0,,3610 mm,1645 mm,1560 mm,,,,,Yes,Driver frontal airbag
Hyundai,Santro,Magna Amt,"Rs. 5,30,990",Petrol,69PS@5500rpm,10.1kgm@4500RPM,1086 cc,35 litres,AMT,Hatchback,5.0,20.3 km/litre,3610 mm,1645 mm,1560 mm,,,Solid Disc,Drum,Yes,Driver frontal airbag
Hyundai,Santro,Sportz Mt,"Rs. 5,12,990",Petrol,69PS@5500rpm,10.1kgm@4500RPM,1086 cc,35 litres,Manual,Hatchback,5.0,20.3 km/litre,3610 mm,1645 mm,1560 mm,,,Solid Disc,Drum,Yes,Driver frontal airbag
Hyundai,Santro,Sportz Mt Cng,"Rs. 5,78,990",CNG,59PS@5500RPM,8.3KGM@4500rpm,1086 cc,60 litres,Manual,Hatchback,5.0,,3610 mm,1645 mm,1560 mm,,,Solid Disc,Drum,Yes,Driver frontal airbag
Hyundai,Santro,Sportz Amt,"Rs. 5,70,990",Petrol,69PS@5500rpm,10.1kgm@4500RPM,1086 cc,35 litres,AMT,Hatchback,5.0,20.3 km/litre,3610 mm,1645 mm,1560 mm,,,Solid Disc,Drum,Yes,Driver frontal airbag
Hyundai,Santro,Asta Mt,"Rs. 5,56,490",Petrol,69PS@5500rpm,99.04nm@4500RPM,1086 cc,35 litres,Manual,Hatchback,5.0,20.3 km/litre,3610 mm,1645 mm,1560 mm,,,,,Yes,"Front passenger frontal airbag, Driver frontal airbag"
Tata,Tiago,Revotron Xe,"Rs. 4,60,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,Manual,Hatchback,5.0,23 km/litre,3765 mm,1677 mm,1535 mm,935 kg,,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xt,"Rs. 5,20,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,Manual,Hatchback,5.0,23 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xz,"Rs. 5,70,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,Manual,Hatchback,5.0,23 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xz Plus,"Rs. 5,99,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,Manual,Hatchback,5.0,23 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xz Plus Dual Tone,"Rs. 6,10,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,Manual,Hatchback,5.0,23 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xza,"Rs. 6,20,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,AMT,Hatchback,5.0,24 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Solid Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xza Plus,"Rs. 6,49,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,AMT,Hatchback,5.0,24 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Solid Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Tata,Tiago,Revotron Xza Plus Dual Tone,"Rs. 6,60,000",Petrol,86PS@6000rpm,114NM@3300rpm,1199 cc,35 litres,AMT,Hatchback,5.0,24 km/litre,3746 mm,1647 mm,1535 mm,930 kg,170 mm,Solid Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Celerio X,Vxi (O),"Rs. 4,81,074",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Celerio X,Vxi,"Rs. 4,75,198",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,,Driver frontal airbag
Maruti Suzuki,Celerio X,Vxi Amt,"Rs. 5,18,198",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Automatic,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,,Driver frontal airbag
Maruti Suzuki,Celerio X,Vxi Amt (O),"Rs. 5,24,074",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Automatic,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Celerio X,Zxi,"Rs. 4,99,734",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,,Driver frontal airbag
Maruti Suzuki,Celerio X,Zxi (O),"Rs. 5,40,350",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Manual,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Celerio X,Zxi Amt,"Rs. 5,42,735",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Automatic,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,,Driver frontal airbag
Maruti Suzuki,Celerio X,Zxi Amt (O),"Rs. 5,52,350",Petrol,68PS@6000rpm,90Nm@3500rpm,998 cc,35 litres,Automatic,Hatchback,5.0,23.1 km/litre,3600 mm,1600 mm,1560 mm,810 kg,165 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Alpha 1.2 Amt,"Rs. 7,13,898",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,AMT,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,860 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Alpha 1.2 Mt,"Rs. 6,66,898",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,Manual,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,860 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Delta 1.2 Amt,"Rs. 6,07,841",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,AMT,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,825 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Delta 1.2 Mt,"Rs. 5,60,841",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,Manual,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,825 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Sigma 1.2 Mt,"Rs. 4,83,320",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,Manual,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,825 kg,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Zeta 1.2 Amt,"Rs. 6,30,320",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,AMT,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Maruti Suzuki,Ignis,Zeta 1.2 Mt,"Rs. 5,83,320",Petrol,83PS@6000rpm,113Nm@4200RPM,1197 cc,32 litres,Manual,Hatchback,5.0,20.89 km/litre,3700 mm,1690 mm,1595 mm,,180 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Triber,Rxe,"Rs. 4,95,000",Petrol,72PS@62050rpm,96Nm@3500rpm,999 cc,40 litres,Manual,MUV,7.0,20.5 km/litre,3990 mm,1739 mm,1643 mm,947 kg,182 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Triber,Rxl,"Rs. 5,59,000",Petrol,72PS@62050rpm,96Nm@3500rpm,999 cc,40 litres,Manual,MUV,7.0,20.5 km/litre,3990 mm,1739 mm,1643 mm,947 kg,182 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Triber,Rxt,"Rs. 6,09,000",Petrol,72PS@62050rpm,96Nm@3500rpm,999 cc,40 litres,Manual,MUV,7.0,20.5 km/litre,3990 mm,1739 mm,1643 mm,947 kg,182 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Renault,Triber,Rxz,"Rs. 6,63,000",Petrol,72PS@62050rpm,96Nm@3500rpm,999 cc,40 litres,Manual,MUV,7.0,20.5 km/litre,3990 mm,1739 mm,1643 mm,947 kg,182 mm,Ventilated Disc,Drum,Yes,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag"
Premier,Rio,Gx,"Rs. 5,06,000",Petrol,76.6PS@5800rpm,103.9Nm@3500-4250rpm,1173 cc,46 litres,Manual,SUV,5.0,16 km/litre,3970 mm,1570 mm,1730 mm,1080 kg,200 mm,Ventilated Disc,Drum,Yes,
Premier,Rio,Ex,"Rs. 5,68,623",Diesel,64PS@4000rpm,152Nm@2500RPM,1489 cc,46 litres,Manual,SUV,5.0,16 km/litre,3970 mm,1570 mm,1730 mm,1145 kg,200 mm,Solid Disc,Drum,,
Premier,Rio,Glx,"Rs. 6,70,000",Petrol,76.6PS@5800rpm,103.9Nm@3500-4250rpm,1173 cc,46 litres,Manual,SUV,5.0,16 km/litre,3970 mm,1570 mm,1730 mm,1080 kg,200 mm,Ventilated Disc,Drum,Yes,
Premier,Rio,Dx,"Rs. 6,03,000",Diesel,64PS@4000rpm,152Nm@2250RPM,1489 cc,46 litres,Manual,SUV,5.0,16 km/litre,3970 mm,1570 mm,1730 mm,1145 kg,200 mm,Ventilated Disc,Drum,Yes,
Premier,Rio,Lx,"Rs. 7,39,000",Diesel,64PS@4000rpm,152Nm@2250RPM,1489 cc,46 litres,Manual,SUV,5.0,16 km/litre,3970 mm,1570 mm,1730 mm,1145 kg,200 mm,Ventilated Disc,Drum,Yes,
Premier,Rio,Crdi4,"Rs. 7,39,000",Diesel,72PS@4000rpm,183Nm@1800-2400rpm,1248 cc,46 litres,Manual,SUV,5.0,23.7 km/litre,3970 mm,1570 mm,1730 mm,1145 kg,200 mm,Ventilated Disc,Drum,Yes,
Toyota,Etios Liva,G,"Rs. 5,20,300",Petrol,80PS@5600rpm,104Nm@3100rpm,1197 cc,45 litres,Manual,Hatchback,5.0,18.16 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Toyota,Etios Liva,V,"Rs. 5,81,000",Petrol,80PS@5600rpm,104Nm@3100rpm,1197 cc,45 litres,Manual,Hatchback,5.0,18.16 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Toyota,Etios Liva,Gd,"Rs. 6,47,800",Diesel,68PS@3800rpm,170Nm@1800-2400rpm,1364 cc,45 litres,Manual,Hatchback,5.0,23.59 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Toyota,Etios Liva,Vx,"Rs. 6,30,000",Petrol,80PS@5600rpm,104Nm@3100rpm,1197 cc,45 litres,Manual,Hatchback,5.0,18.16 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Toyota,Etios Liva,Vxd,"Rs. 7,45,000",Diesel,68PS@3800rpm,170Nm@1800-2400rpm,1364 cc,45 litres,Manual,Hatchback,5.0,23.59 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Toyota,Etios Liva,Vd,"Rs. 7,04,000",Diesel,68PS@3800rpm,170Nm@1800-2400rpm,1364 cc,45 litres,Manual,Hatchback,5.0,23.59 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
Toyota,Etios Liva,Dual Tone V,"Rs. 5,97,700",Petrol,80PS@5600rpm,104Nm@3100rpm,1197 cc,45 litres,Manual,Hatchback,5.0,18.16 km/litre,3884 mm,1695 mm,1510 mm,895 kg,170 mm,Ventilated Disc,Drum,Yes,"Driver frontal airbag, Front passenger frontal airbag"
